Video,Video title,Video publish date,Comments,Shares,DisLikes,Likes,Subscribers lost,Subscribers gained,RPM (USD),CPM (USD),Average Percentage viewed(%),Average view Duration,Views,Subscribers,Your Estmated Revenue (USD),Impressions,Impressionss click-through rate (%),Watch time,Publish Month,Publish Day,Publish Weekday,Is Weekend,Likes per View,Dislikes per View,Comments per View,Shares per View,Subscribers per View,Average view Duration (sec),Watch time (sec),Performance
GmW4F6MHqqs,Data Science Project from Scratch - Part 2 (Data Collection),2020-04-06,241,341,19,2378,5,916,5.789,12.422,24.28,0 days 00:06:47,71147,911,411.331,640357,6.53,335 days 10:42:11.160000,4,6,Monday,False,0.033423286670039916,0.00026704896834766966,0.0033873053353572834,0.00479282622139765,0.01280429527182774,407.0,28982531.16,High
Q9FjwzKFPuM,Data Science Certificate vs Bootcamp vs Masters Degree,2020-01-18,239,456,48,2708,37,1576,8.315,17.543,36.21,0 days 00:05:53,92355,1539,767.493,2247912,2.78,377 days 09:16:30.720000,1,18,Saturday,True,0.02932132184156958,0.0005197280090086188,0.0025878123781887478,0.004937416085581878,0.016663779288838842,353.0,32606190.72,High
41Clrh6nv1s,How I Would Learn Data Science in 2021 (What Has Changed?),2020-12-19,232,741,63,5869,57,3358,7.526,15.786,41.01,0 days 00:03:45,123515,3301,929.4,1699309,3.93,321 days 20:16:24.600000,12,19,Saturday,True,0.04751611127303345,0.0005100553774409793,0.0018782991677191619,0.005999222772758185,0.02672528255448687,225.0,27807384.6,High
8igH8qZafpo,3 Proven Data Science Projects for Beginners (Kaggle),2020-02-17,220,1935,64,14708,72,9508,3.733,9.247,35.26,0 days 00:02:40,237467,9436,885.504,3137644,4.01,440 days 00:21:34.920000003,2,17,Monday,False,0.06193676621692186,0.0002695099971364563,0.0009264406151565684,0.008148466319672545,0.03973588020280627,160.0,38017294.92,High
Kq9dkZu0bpg,"Hedge Funds, Startups, and Data Science Oh my! (@DataLeap) - KNN EP. 14",2020-09-18,213,34,6,248,12,28,4.604,9.501,16.64,0 days 00:05:37,6860,16,31.575,143539,2.52,26 days 18:51:36.720000,9,18,Friday,False,0.03614633435359277,0.0008745080891998251,0.031045037166593792,0.004955545838799009,0.0023320215711995335,337.0,2314296.72,Low
sHRq-LshG3U,Why You Probably Won't Become a Data Scientist,2021-04-09,213,386,129,3225,67,2237,5.569,12.805,41.36,0 days 00:03:34,108133,2170,601.671,1302907,5.04,268 days 03:35:26.160000,4,9,Friday,False,0.02982410712634324,0.0011929642850537297,0.001969778238111972,0.0035696450700057336,0.020067693787337932,214.0,23168126.16,High
S_CuB__nsmI,Sports Analytics & Streaming Data Science on Twitch (Nick Wan) - KNN EP. 08,2020-08-12,209,32,0,178,8,21,7.437,10.958,7.32,0 days 00:05:30,4415,13,32.826,140501,1.69,16 days 21:36:07.560000,8,12,Wednesday,False,0.04030797101449275,0.0,0.04732789855072464,0.007246376811594203,0.002943840579710145,330.0,1460167.56,Low
I3FBJdiExcg,Beginner Kaggle Data Science Project Walk-Through (Titanic),2020-07-17,174,1265,59,4321,40,2585,5.33,13.695,15.89,0 days 00:06:04,168183,2545,894.753,2040561,4.71,709 days 23:39:23.759999992,7,17,Friday,False,0.025692099129524807,0.00035080625981068355,0.0010345811730009989,0.007521524045093469,0.015132236122342197,364.0,61342763.75999999,High
6aaIbd-GpZs,Should You Major in Data Science? (Jaemin Lee) - KNN EP. 04,2020-07-08,173,29,0,223,5,29,5.097,9.661,17.97,0 days 00:03:33,5799,24,29.56,140871,2.04,14 days 07:34:46.560000,7,8,Wednesday,False,0.03844827586206897,0.0,0.02982758620689655,0.005,0.004137931034482759,213.0,1236886.56,Low
QN3wXPZSjpE,Do You Have a Data Science Mentor? (@Danny Ma) - KNN EP. 06,2020-07-30,172,10,1,115,9,10,3.52,7.263,16.61,0 days 00:06:20,2188,760,7.701,110441,0.96,9 days 15:19:39,7,30,Thursday,False,0.052535404294198264,0.00045682960255824577,0.07857469164001828,0.0045682960255824575,0.34719049794426676,380.0,832779.0,Low
SVtRsDhHlDk,Why I Quit Data Science,2021-02-12,165,197,159,2274,85,832,4.042,9.855,40.99,0 days 00:02:16,98777,747,399.18,659163,8.62,156 days 12:04:05.880000,2,12,Friday,False,0.02302132053696167,0.0016096701694709348,0.0016704124400170079,0.0019943712162627304,0.00756241268298609,136.0,13521845.88,High
zF_Q2v_9zKY,Scrape Twitter Data in Python with Twitterscraper Module,2019-04-18,161,455,11,783,2,365,2.924,10.454,35.96,0 days 00:02:15,41506,363,121.302,262907,7.71,65 days 07:20:42.360000,4,18,Thursday,False,0.01886428795142988,0.0002650155395475462,0.003878863806104994,0.010962006408557592,0.008745512805069024,135.0,5642442.36,High
rbrdNTpZGo,Building a Deep Learning BEAST (NVIDIA TITAN RTX + RYZEN 3900X),2020-07-24,158,23,9,247,10,65,3.222,7.571,27.73,0 days 00:02:40,7865,55,25.339,130969,3.31,14 days 14:09:52.560000,7,24,Friday,False,0.03140096618357488,0.0011441647597254005,0.02008644800406814,0.0029239766081871343,0.00699211797609967,160.0,1260592.56,Low
myhoWUrSP7o,I Built the FIRST EVER YouTube Subscriber LEADERBOARD,2020-12-07,151,60,7,675,18,278,2.686,10.189,17.48,0 days 00:01:59,21008,260,56.411,256546,1.72,29 days 00:50:22.200000,12,7,Monday,False,0.03212908753391404,0.00033319053738873814,0.007187395877957066,0.0028559188919034697,0.012375648531581704,119.0,2508622.2,High
2qVWurPFwfc,Is Data Science Dying?,2021-11-19,148,408,56,2378,34,981,5.272,9.354,34.98,0 days 00:03:12,70043,947,368.53,1071989,3.78,155 days 16:49:08.400000,11,19,Friday,False,0.033950088515790074,0.0007994974587402204,0.0021129575695277253,0.005824910056535891,0.013520073096910513,192.0,13452548.4,High
zGlJ-QndG8E,How to Get a Data Science Job at FAANG (@Data Science Jay) - KNN EP. 03,2020-06-26,135,49,5,450,13,142,5.161,10.256,27.81,0 days 00:03:50,11872,129,61.23,170724,3.5,31 days 15:16:54.480000,6,26,Friday,False,0.03790112018866335,0.00042112355765181505,0.011370336056599007,0.0041270108649877875,0.010864987787416827,230.0,2733414.48,High
BBDiadC8BvE,5 Essential Data Science Projects for Your Portfolio,2020-09-26,134,381,23,2462,16,961,4.502,11.302,35.67,0 days 00:02:27,51092,945,229.705,534014,5.45,87 days 07:50:52.800000,9,26,Saturday,True,0.04818664004853894,0.0004501595130448398,0.0026226684673047187,0.007456990194351477,0.018495684340320593,147.0,7545052.8,High
mEZ1Hj5yQ-8,How to Build a Data Science Portfolio Website with Hugo & Github Pages [feat. Data Professor],2020-05-29,131,514,16,1559,9,524,5.657,13.458,11.48,0 days 00:04:55,44924,515,253.83,471036,4.63,153 days 19:04:24.240000,5,29,Friday,False,0.034702281580411797,0.0003561491374513077,0.0029159710628825822,0.011441291040623261,0.011463550361713967,295.0,13287864.24,High
fhi4dOhmW-g,Data Science Project from Scratch - Part 3 (Data Cleaning),2020-04-08,129,283,8,1301,8,520,4.323,12.468,16.98,0 days 00:07:26,50234,512,216.892,629607,4.82,259 days 19:27:58.320000,4,8,Wednesday,False,0.025898278092963075,0.00015925151786602966,0.0025679307255897284,0.005633522444510799,0.010192097143425899,446.0,22447678.32,High
yukdXV9LR48,The Projects You Should Do To Get A Data Science Job,2019-07-30,124,868,87,5218,53,2793,3.836,11.586,25.41,0 days 00:03:15,131630,2740,504.669,1748467,4.36,298 days 01:44:37.320000,7,30,Tuesday,False,0.039641117973729594,0.0006609385327164573,0.0009420273339866749,0.006594191337906724,0.020815765283253945,195.0,25753477.32,High
g7on3Rw0Ovg,Fast Cars to Faster Data (Alex Castrounis) - KNN EP. 12,2020-09-09,118,19,1,75,4,4,5.427,10.719,11.37,0 days 00:06:13,1823,655,9.893,114125,0.76,7 days 21:20:00.240000,9,9,Wednesday,False,0.04111842105263158,0.0005482456140350877,0.06469298245614036,0.010416666666666666,0.35910087719298245,373.0,681600.24,Low
hOUrxTeBJQc,The 7 Biggest Data Science  Beginner Mistakes,2021-04-23,117,181,13,2252,23,1053,7.726,13.924,38.26,0 days 00:03:49,48261,1030,372.245,676516,3.45,128 days 10:28:47.280000,4,23,Friday,False,0.04666197007998011,0.00026936305996436117,0.002424267539679251,0.0037503626041191828,0.021341842443330157,229.0,11096927.28,High
xpIFS6jZbe8,How I Would Learn Data Science in 2022 (If I Had to Start Over),2021-12-27,109,767,53,4413,46,2553,6.836,13.534,36.77,0 days 00:04:29,79283,2507,528.286,1420968,3.31,247 days 17:32:31.200000,12,27,Monday,False,0.055660662933252614,0.0006684829221532718,0.0013748045002774834,0.009674083043236971,0.03162050350638212,269.0,21403951.2,High
